scope,district_number,seats,fractional_seats,floor_override,bonus_seats,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Gazipur,2,6,5.878717,f,0,1747458,1747458,0.574555,1,t,Kaliganj; Sreepur,4131d84a-c53b-4fcb-b678-e1732ddaa2c9,eb6aede4-e646-4bde-8cd6-911bbbcb8243
Gazipur,3,8,7.965226,f,0,2367676,2367676,0.736686,1,t,Gazipur Sadar,1fc8161b-ec6b-4a9a-9bf6-8d99aeb5a4bc,eb6aede4-e646-4bde-8cd6-911bbbcb8243
Jessore,1,5,4.825020,f,0,1554081,1554081,0.774746,1,t,Jhikargachha; Keshabpur; Manirampur; Sharsha,16b0d766-53ef-4a86-bcac-c93ff263e327,86a26064-7bb6-493b-8975-e5cec43721d2
Jessore,2,5,5.174980,f,0,1666799,1666799,0.606721,1,t,Abhaynagar; Bagher Para; Chaugachha; Kotwali,0808347b-38cf-4e62-aa56-e2ea556bf441,86a26064-7bb6-493b-8975-e5cec43721d2
Khulna,1,8,8.179758,f,0,2512601,2512601,0.597389,17,t,Bagerhat; Narail,15e51987-3a1a-4bcb-910a-66e3e89dc972,cb861432-f08a-422b-9b53-5badf2354e3b
Khulna,2,9,8.760291,f,0,2690925,2690925,0.707410,17,t,Khulna,0edc7463-63f4-487b-8069-55b5e30e7519,cb861432-f08a-422b-9b53-5badf2354e3b
Khulna,3,7,7.236651,f,0,2222904,2222904,0.675351,11,t,Satkhira,cec770e4-3100-4918-a65f-aa0d5c042b47,cb861432-f08a-422b-9b53-5badf2354e3b
Khulna,4,8,7.628580,f,0,2343294,2343294,0.502019,2,f,Chuadanga; Magura,9067c1e6-4a3d-4ddf-bd7c-c4d68fad63b5,cb861432-f08a-422b-9b53-5badf2354e3b
Khulna,5,7,7.179599,f,0,2205379,2205379,0.733656,1,t,Kushtia,43fb8024-2f45-4c63-9bad-dc3d950f6c22,cb861432-f08a-422b-9b53-5badf2354e3b
Khulna,6,9,9.015121,f,0,2769202,2769202,0.539894,2,f,Jhenaidah; Meherpur,428470e7-d663-4e01-ac3e-3d67ef0a1b22,cb861432-f08a-422b-9b53-5badf2354e3b
Kishoreganj,1,5,5.075443,f,0,1551897,1551897,0.723224,1,t,Austagram; Bajitpur; Bhairab; Itna; Katiadi; Kuliar Char; Mithamain; Nikli,0dde9218-d685-4619-ac6d-9134cf14a82b,826d9c0e-da4b-4db7-b023-03ee74633a9a
Kishoreganj,2,6,5.924557,f,0,1811527,1811527,0.725234,1,t,Hossainpur; Karimganj; Kishoreganj Sadar; Pakundia; Tarail,6bc95339-ae8c-4900-a2ea-6c8947474813,826d9c0e-da4b-4db7-b023-03ee74633a9a
Mymensingh,1,8,8.292511,f,0,2579307,2579307,0.630011,1,t,Jamalpur,2b5faec0-6b48-443d-95ad-20831e2aeb8d,ab127c08-dffe-4773-bb96-3463fcbabb3e
