scope,district_number,seats,fractional_seats,floor_override,bonus_seats,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Laguna,2,5,5.012071,f,0,1185830,1185830,0.553736,2,t,Alaminos; Bay; Cabuyao City; City of Calamba; Los Baños,063711bf-3fbc-4e94-8a91-19f19fed9dcd,6bb01433-3375-4ef5-b127-ffd43ab4ab8b
Laguna,3,5,4.899457,f,0,1159186,1159186,0.724528,7,t,Calauan; Cavinti; Famy; Kalayaan; Liliw; Luisiana; Lumban; Mabitac; Magdalena; Majayjay; Nagcarlan; Paete; Pagsanjan; Pakil; Pangil; Pila; Rizal; San Pablo City; Santa Cruz; Santa Maria; Siniloan; Victoria,99a63432-f122-4bb1-bae9-521080a46984,6bb01433-3375-4ef5-b127-ffd43ab4ab8b
Mimaropa,1,5,5.386895,f,0,1296302,1296302,0.131897,66,t,Palawan,6b99742c-636a-46fb-9043-21f36fb8d0d4,3f4e74e5-a7a5-48f5-9e95-b902573d3ed0
Mimaropa,2,9,8.613105,f,0,2072657,2072657,0.346870,54,t,Marinduque; Occidental Mindoro; Oriental Mindoro; Romblon,a6c00ece-ee02-43a7-9073-cb2cc7f5cbed,3f4e74e5-a7a5-48f5-9e95-b902573d3ed0
NCR,1,9,9.000000,f,0,1857312,1857312,0.680464,3,t,"NCR, City of Manila, First District",c66f24bc-a33d-492d-b0ef-4b9d8473a245,fba2aa5a-edcf-4aba-959e-eab482aeb022
"NCR, Fourth District",1,9,8.852313,f,0,2143446,2143446,0.740397,1,t,City of Makati; Pasay City; Pateros; Taguig City,17898171-84df-406c-a3b4-b76fc5199ae6,1c713196-11fc-4c2c-9d5f-5e93113752c2
"NCR, Fourth District",2,8,8.147687,f,0,1972832,1972832,0.804294,1,t,City of Las Piñas; City of Muntinlupa; City of Parañaque,6f254826-84b7-4604-8742-17cfc769ec99,1c713196-11fc-4c2c-9d5f-5e93113752c2
"NCR, Second District",1,5,5.164522,f,0,1672023,1672023,0.451775,2,t,Caloocan City,afee5e04-d6b0-4860-b79c-eed3f677a88b,5564b05a-07fa-4307-a82c-08955349624b
"NCR, Second District",2,6,5.835478,f,0,1889246,1889246,0.592989,1,t,City of Mandaluyong; City of Marikina; City of Pasig; City of San Juan,e7aeec23-9447-49b7-a648-0af777e4e1b1,5564b05a-07fa-4307-a82c-08955349624b
"NCR, Third District",1,7,6.794968,f,0,759714,759714,0.696343,1,t,City of Valenzuela,82f0955e-77da-4fac-bbf5-b52d4f6ac151,81d759f2-2704-46c2-89d4-b96072dea3c7
"NCR, Third District",2,6,6.205032,f,0,693756,693756,0.596628,1,t,City of Malabon; City of Navotas,7e5bb99d-c6a3-4c2c-ad70-f664f0d888fc,81d759f2-2704-46c2-89d4-b96072dea3c7
Negros Occidental,1,7,6.997491,f,0,1687591,1687591,0.646442,41,t,Bago City; Binalbagan; Calatrava; Candoni; Cauayan; City of Himamaylan; City of Kabankalan; City of Sipalay; Hinigaran; Hinoba-An; Ilog; Isabela; La Carlota City; La Castellana; Moises Padilla; Pontevedra; Pulupandan; San Carlos City; San Enrique; Valladolid,8ad45263-2f6e-42ae-be7b-eee6c00b1acc,0f08bfe0-f244-4d97-b7a8-eac262305735
Negros Occidental,2,7,7.002509,f,0,1688801,1688801,0.769351,28,t,Bacolod City; Cadiz City; City of Escalante; City of Talisay; City of Victorias; Enrique B. Magalona; Manapla; Murcia; Sagay City; Salvador Benedicto; Silay City; Toboso,e18dd618-bd42-483c-970f-f28725045a64,0f08bfe0-f244-4d97-b7a8-eac262305735
Northern Mindanao,1,7,7.453887,f,0,1782119,1782119,0.595168,4,t,Lanao del Norte; Misamis Occidental,73c87136-4abc-4d27-9f67-0fb4449d6e9d,9d16da04-80aa-4499-92cd-0733d8cbcdd1
Northern Mindanao,2,7,6.764658,f,0,1617334,1617334,0.894374,1,t,Bukidnon,d805ca1a-db30-452a-9e53-955e5b7f1be9,9d16da04-80aa-4499-92cd-0733d8cbcdd1
Northern Mindanao,3,8,7.781455,f,0,1860436,1860436,0.434618,4,t,Camiguin; Misamis Oriental,f575d06f-2cdc-446b-8541-dcd76d9abddf,9d16da04-80aa-4499-92cd-0733d8cbcdd1
Nueva Ecija,1,5,4.974680,f,0,1205834,1205834,0.796814,11,t,Aliaga; Bongabon; Carranglan; Cuyapo; General Mamerto Natividad; Guimba; Licab; Llanera; Lupao; Nampicuan; Pantabangan; Quezon; Rizal; San Jose City; Santo Domingo; Science City of Muñoz; Talavera; Talugtug,8d8fcc2a-07d0-4606-8238-e0e5d9494b4a,68cec397-71fc-4b02-9c6d-f77d2e5576d7
Nueva Ecija,2,5,5.025320,f,0,1218109,1218109,0.826424,1,t,Cabanatuan City; Cabiao; City of Gapan; Gabaldon; General Tinio; Jaen; Laur; Palayan City; Peñaranda; San Antonio; San Isidro; San Leonardo; Santa Rosa; Zaragoza,c1cb8c3e-4cb9-4ad0-ac00-93896aacc5b8,68cec397-71fc-4b02-9c6d-f77d2e5576d7
Pampanga,1,6,6.096388,f,0,1426704,1426704,0.765428,1,t,Apalit; Bacolor; City of San Fernando; Floridablanca; Guagua; Lubao; Macabebe; Masantol; Minalin; Porac; Santa Rita; Sasmuan,41cbe002-bcf5-4604-887c-d8a24f8e883f,c4cfbd6b-b06e-4d39-af16-e0f731c78a4f
Pampanga,2,7,6.903612,f,0,1615614,1615614,0.747878,1,t,Angeles City; Arayat; Candaba; Mabalacat City; Magalang; Mexico; San Luis; San Simon; Santa Ana; Santo Tomas,55abdf7d-4c68-448b-92e7-53787fa2bcba,c4cfbd6b-b06e-4d39-af16-e0f731c78a4f
Pangasinan,1,7,6.834105,f,0,1619242,1619242,0.664826,125,t,Agno; Aguilar; Alcala; Anda; Bani; Basista; Bautista; Bayambang; Binmaley; Bolinao; Bugallon; Burgos; City of Alaminos; Dasol; Infanta; Labrador; Lingayen; Mabini; Malasiqui; Mangatarem; San Carlos City; Santo Tomas; Sual; Urbiztondo,097a9ce9-174b-4b8e-8ab2-e64f02236e64,1f479a6d-3c4c-4551-ad51-1c3d56bd7d67
Pangasinan,2,7,7.165895,f,0,1697855,1697855,0.858512,1,t,Asingan; Balungao; Binalonan; Calasiao; City of Urdaneta; Dagupan City; Laoac; Manaoag; Mangaldan; Mapandan; Natividad; Pozorrubio; Rosales; San Fabian; San Jacinto; San Manuel; San Nicolas; San Quintin; Santa Barbara; Santa Maria; Sison; Tayug; Umingan; Villasis,a4ae26bb-457c-4d3d-b91b-5177b8400999,1f479a6d-3c4c-4551-ad51-1c3d56bd7d67
Quezon,1,5,4.869907,f,0,1134026,1134026,0.594265,8,t,Candelaria; City of Tayabas; Dolores; Lucban; Lucena City; Mauban; Pagbilao; Sampaloc; San Antonio; Sariaya; Tiaong,5039e6c7-5466-411d-8877-dac77b096d42,db499a33-fbdc-4307-923b-d79726b18170
Quezon,2,5,5.130093,f,0,1194614,1194614,0.338776,66,f,Agdangan; Alabat; Atimonan; Buenavista; Burdeos; Calauag; Catanauan; General Luna; General Nakar; Guinayangan; Gumaca; Infanta; Jomalig; Lopez; Macalelon; Mulanay; Padre Burgos; Panukulan; Patnanungan; Perez; Pitogo; Plaridel; Polillo; Quezon; Real; San Andres; San Francisco; San Narciso; Tagkawayan; Unisan,a189e2fc-63e6-421c-9568-9af73e73903e,db499a33-fbdc-4307-923b-d79726b18170
Quezon City,1,5,5.000111,f,0,1583592,1583592,0.840694,1,t,sub:Quezon City — drawn district 1 (pop 1583592),bb8919cb-54ff-40c0-82ad-3ea6a39cc9fa,4d95cda8-bc3f-4bdc-b779-aabd10b0b146
Quezon City,2,5,4.999889,f,0,1583522,1583522,0.820850,1,t,sub:Quezon City — drawn district 2 (pop 1583522),49f6399c-fe21-4a1f-9855-f95ba8d52f9d,4d95cda8-bc3f-4bdc-b779-aabd10b0b146
Rizal,1,7,6.982549,f,0,1628344,1628344,0.534719,13,t,Baras; Binangonan; Cardona; Jala-Jala; Morong; Pililla; Rodriguez; San Mateo; Tanay; Teresa,760ce000-e2e8-4491-b93f-f6b045452938,5a07be3d-64ba-4272-af2c-9cd289593301
Rizal,2,8,8.017451,f,0,1869685,1869685,0.704346,1,t,Angono; Cainta; City of Antipolo; Taytay,9770c72f-ff5c-480e-9167-a3a58cc06670,5a07be3d-64ba-4272-af2c-9cd289593301
Soccsksargen,1,9,9.111952,f,0,1753762,1753762,0.807826,1,t,South Cotabato,3635de63-7fea-4f7b-bf01-27d35297998d,ad2ed904-d454-480b-9e0b-2634edaced1a
Soccsksargen,2,8,8.126756,f,0,1564143,1564143,0.798850,1,t,Cotabato,30884be5-734b-4c83-b210-c7b6e2cf46da,ad2ed904-d454-480b-9e0b-2634edaced1a
Soccsksargen,3,5,4.761293,f,0,916398,916398,0.247123,3,f,Cotabato City; Sarangani,7ad5f20a-823a-4c58-9942-7725778fa45b,ad2ed904-d454-480b-9e0b-2634edaced1a
Western Visayas,1,3,2.772059,t,0,644984,644984,0.552817,9,t,Aklan,c3419545-4149-4e16-822b-484231258064,bd97ad06-2bbc-4f45-89b2-387701b6c903
Western Visayas,2,7,7.227941,f,0,1681749,1681749,0.244814,53,t,Antique; Capiz; Guimaras,583e4434-9082-47b5-b1f1-83b4c4e0387b,bd97ad06-2bbc-4f45-89b2-387701b6c903
Zamboanga Peninsula,1,8,8.037879,f,0,2119011,2119011,0.345792,49,t,Zamboanga del Sur,781b6d71-f62f-48da-8d19-f3e54f152a9a,4676973a-ab2c-48e9-87e2-2de7d3f426b7
Zamboanga Peninsula,2,9,8.962121,f,0,2362667,2362667,0.370900,98,f,Basilan; City of Isabela; Zamboanga Sibugay; Zamboanga del Norte,a66ac4d5-029e-4016-bb07-fa4fb9935c7e,4676973a-ab2c-48e9-87e2-2de7d3f426b7
