scope,district_number,seats,fractional_seats,floor_override,bonus_seats,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Kelantan,1,9,8.950431,f,0,964028,964028,0.802790,1,t,Bachok; Kota Bharu; Tumpat,3b77078a-f1b7-449e-9861-64abbcee520a,7931e84e-1b00-45b4-8fe3-6bd3b539b48f
Kelantan,2,9,9.049569,f,0,974706,974706,0.779169,1,t,Gua Musang; Jeli; Kecil Lojing; Kuala Krai; Machang; Pasir Mas; Pasir Puteh; Tanah Merah,1d0624bc-86b9-4d43-814a-3c3fa60afb13,7931e84e-1b00-45b4-8fe3-6bd3b539b48f
Klang,1,6,5.985922,f,0,634455,634455,0.672274,6,t,BANDAR PORT SWETTENHAM; BANDAR SULTAN SULAIMAN; MUKIM KLANG; PEKAN BUKIT KEMUNING; PEKAN PANDAMARAN; PEKAN TELOK  MENEGUN,ab19db11-fe13-4ad2-8eb8-e96c5274d40d,89657f93-17f0-4a92-a726-bc3843723101
Klang,2,5,5.014078,f,0,531448,531448,0.787965,1,t,BANDAR KLANG; MUKIM KAPAR; PEKAN BATU EMPAT; PEKAN KAPAR; PEKAN MERU,251e8bed-ec3b-436b-ad29-4ead4473a7ad,89657f93-17f0-4a92-a726-bc3843723101
Kuala Lumpur,1,2,0.409202,t,2,18585,18585,0.014007,8,t,BANDAR BANDAR BAHARU SUNGAI BESI; BANDAR GOMBAK SETIA; PEKAN BATU CAVES; PEKAN KEPONG; PEKAN KUALA PAUH; PEKAN SALAK SOUTH; PEKAN SUNGAI PENCHALA,ae8496e6-f279-48ef-9f48-4f051feed632,fe57277c-2563-4fe0-a09c-19fd973c68d5
MUKIM KUALA LUMPUR,1,5,5.002245,f,0,236139,236139,0.700822,1,t,sub:MUKIM KUALA LUMPUR — drawn district 1 (pop 236139),21dba437-fe5a-441b-8b39-364c82d3f43e,1373f1bb-7599-4807-b3f1-70af5c18b734
MUKIM KUALA LUMPUR,2,5,4.997755,f,0,235927,235927,0.779119,1,t,sub:MUKIM KUALA LUMPUR — drawn district 2 (pop 235927),d877fe7c-9225-4048-84c8-b8ec99ecde14,1373f1bb-7599-4807-b3f1-70af5c18b734
Malacca,1,6,6.049525,f,0,648840,648840,0.739647,1,t,Melaka Tengah,ba8fb297-5b41-4d59-b60e-9d87b406dfc6,cd5ad7df-405d-4ad1-bec8-b421a4933023
Malacca,2,4,3.950475,t,0,423707,423707,0.698196,1,t,Alor Gajah; Jasin,d2fad73b-0cde-440e-ba0a-0494379334ca,cd5ad7df-405d-4ad1-bec8-b421a4933023
Malaysia,1,5,5.000000,f,0,535346,535346,0.002673,5,t,Labuan; Perlis; Putrajaya,7ae45e86-1cc0-4a9f-9d24-4fdf9cb6b771,ce7e608d-4b53-4c02-ad9a-511bc3efcdb3
