scope,district_number,seats,fractional_seats,floor_override,bonus_seats,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Ontario,2,6,5.839020,f,0,692044,692044,0.610822,12,t,Windsor--Sarnia,a8f281ca-e6c1-4f55-bacb-512c308e9645,f96282de-b187-4a54-99cd-3555db16204a
Ontario,3,7,7.032020,f,0,833439,833439,0.829661,962,t,Northeast / Nord-est; Northwest / Nord-ouest,a182c32f-c766-412c-86fb-2003b024bfc8,f96282de-b187-4a54-99cd-3555db16204a
Ontario,4,8,7.912914,f,0,937843,937843,0.698555,55,t,Kingston--Pembroke; Muskoka--Kawarthas,f9c194e6-2840-4886-973e-811b7daaaad1,f96282de-b187-4a54-99cd-3555db16204a
Ottawa,1,9,9.397041,f,0,1074376,1074376,0.813352,1,t,Ottawa,8c8fed4e-72ef-4481-921e-34c62d1181d8,ad25aeef-1615-4e53-9a9a-cb3d62155e51
Ottawa,2,4,3.602959,t,0,411931,411931,0.702426,43,t,Akwesasne (Part) 59; Alfred and Plantagenet; Athens; Augusta; Beckwith; Brockville; Carleton Place; Casselman; Champlain; Clarence-Rockland; Cornwall; Drummond/North Elmsley; East Hawkesbury; Edwardsburgh/Cardinal; Elizabethtown-Kitley; Front of Yonge; Gananoque; Hawkesbury; Lanark Highlands; Leeds and the Thousand Islands; Merrickville-Wolford; Mississippi Mills; Montague; North Dundas; North Glengarry; North Grenville; North Stormont; Perth; Prescott; Rideau Lakes; Russell; Smiths Falls; South Dundas; South Glengarry; South Stormont; Tay Valley; The Nation / La Nation; Westport,6377a347-7f60-4410-9582-36b3ca37bf2b,ad25aeef-1615-4e53-9a9a-cb3d62155e51
Quebec,1,7,6.951197,f,0,800327,800327,0.836025,6,t,Capitale-Nationale,2c451c6a-9d8c-4f35-9bae-07a226ee1ab5,47ad1fe3-0583-4016-8533-622cfaa13a1c
Quebec,2,9,8.824057,f,0,1015959,1015959,0.670290,866,t,Abitibi-Témiscamingue; Côte-Nord; Nord-du-Québec; Outaouais; Saguenay--Lac-Saint-Jean,c9bde518-44ae-4602-8e09-14fe401bfd19,47ad1fe3-0583-4016-8533-622cfaa13a1c
Quebec,3,8,8.335874,f,0,959752,959752,0.683358,11,t,Laurentides; Mauricie,8e04f36d-d816-49b8-8880-460c1e02b6a3,47ad1fe3-0583-4016-8533-622cfaa13a1c
Quebec,4,9,8.872218,f,0,1021504,1021504,0.740513,35,t,Lanaudière; Laval,1ac4e62e-5dd5-4f3b-ab40-470b38e3c9ce,47ad1fe3-0583-4016-8533-622cfaa13a1c
Quebec,5,7,6.619500,f,0,762137,762137,0.338369,29,t,Bas-Saint-Laurent; Chaudière-Appalaches; Gaspésie--Îles-de-la-Madelei,b392ded6-50a2-42ae-8ce8-5afc3e1b9dcb,47ad1fe3-0583-4016-8533-622cfaa13a1c
Quebec,6,5,5.397154,f,0,621402,621402,0.738366,9,t,Centre-du-Québec; Estrie,ee38784b-df92-43f5-b699-a5de28ceb131,47ad1fe3-0583-4016-8533-622cfaa13a1c
Saskatchewan,1,5,5.454801,f,0,651780,651780,0.959208,1,t,Northern / Nord; Prince Albert; Saskatoon--Biggar,a8f07e1e-36d4-42d1-90e7-05d9bfa0c70b,50c4c579-56d6-44d6-b1a8-ea9da9e0dfee
Saskatchewan,2,5,4.545199,f,0,543094,543094,0.889616,1,t,Regina--Moose Mountain; Swift Current--Moose Jaw; Yorkton--Melville,cdc5b259-454f-496a-b363-1cb28dc0e648,50c4c579-56d6-44d6-b1a8-ea9da9e0dfee
Toronto,1,9,9.000208,f,0,1021111,1021111,0.941852,1,t,sub:Toronto — drawn district 1 (pop 1021111),8e790409-3f34-48d0-9481-20e496704fc9,9eb5fa4c-7604-46b7-ab64-ff348a08e3f1
Toronto,1,8,7.871027,f,0,912121,912121,0.878917,1,t,Markham; Richmond Hill; Vaughan,fd6031e3-bacc-4a3b-9759-17f4e11a8dd5,5fd83833-c8fb-465f-a579-511793396d5e
Toronto,2,8,8.489942,f,0,983843,983843,0.825563,2,t,Mississauga; Oakville,3125a555-e3b1-4a5f-9aea-d4c6af336889,5fd83833-c8fb-465f-a579-511793396d5e
Toronto,2,9,8.848746,f,0,1003927,1003927,0.915641,5,f,sub:Toronto — drawn district 2 (pop 1003927),8152933e-8b66-4c46-bba1-4bf7ac5fe1c0,9eb5fa4c-7604-46b7-ab64-ff348a08e3f1
Toronto,3,8,7.992391,f,0,906770,906770,0.915157,1,t,sub:Toronto — drawn district 3 (pop 906770),850c9e33-b3e6-41ee-80f6-8d99c8eaca9a,9eb5fa4c-7604-46b7-ab64-ff348a08e3f1
Toronto,3,9,8.924034,f,0,1034147,1034147,0.805437,1,t,Ajax; Aurora; Brock; Chippewas of Georgina Island *; Clarington; East Gwillimbury; Georgina; Mississaugas of Scugog Island; Newmarket; Oshawa; Pickering; Scugog; Uxbridge; Whitby; Whitchurch-Stouffville,7a18e7d1-91bb-4cd4-b71a-0feadb170093,5fd83833-c8fb-465f-a579-511793396d5e
Toronto,4,9,8.714996,f,0,1009923,1009923,0.697018,1,t,Brampton; Caledon; Halton Hills; King; Milton,0e37c17c-3dce-4e75-8447-14d8d8cf720c,5fd83833-c8fb-465f-a579-511793396d5e
