map,scope,fingerprint,districts,scope_jurisdiction_id
Auto Map Draft 1,South Africa,22cd0450c8cc2279540e5bf38bf55376,2,d2945cab-dda8-435f-97f0-9db50bb8fa7e
Manual Map Draft 1,South Africa,22cd0450c8cc2279540e5bf38bf55376,2,d2945cab-dda8-435f-97f0-9db50bb8fa7e
Auto Map Draft 1,Spain,45e38bffebcdeab3f4d12cf1508f2521,2,4445c04a-1ee4-49cb-9a83-6caf1ee77c89
Manual Map Draft 1,Spain,b0d2284226a4cabc794eae517593dea8,2,4445c04a-1ee4-49cb-9a83-6caf1ee77c89
Auto Map Draft 1,Sudan,43569eba8e26a4e04a027e7fffcb9c48,2,13e01261-b825-46ed-8593-7ee2d089d2e7
Manual Map Draft 1,Sudan,5c616d28ea4a408539000df6d20bf7a5,2,13e01261-b825-46ed-8593-7ee2d089d2e7
Auto Map Draft 1,Tamil Nādu,25676a5800974f5bf9ed74f5df6fb90f,4,fc3aa94a-6300-420f-9d3c-babc4b9efea3
Manual Map Draft 1,Tamil Nādu,dd782e24e1972413c9a20a9d897af4bb,4,fc3aa94a-6300-420f-9d3c-babc4b9efea3
Auto Map Draft 1,Telangāna,c21f4fdf08c15b91d161b49f00183ee6,2,ba5acc44-e185-43e0-a5b1-857777c9d194
Manual Map Draft 1,Telangāna,c21f4fdf08c15b91d161b49f00183ee6,2,ba5acc44-e185-43e0-a5b1-857777c9d194
Auto Map Draft 1,Thailand,580ecbfa94e04260dc601ed67361d53b,2,189e6c0a-c90e-448e-b0b9-2c9a747ca386
Manual Map Draft 1,Thailand,580ecbfa94e04260dc601ed67361d53b,2,189e6c0a-c90e-448e-b0b9-2c9a747ca386
Auto Map Draft 1,Turkey,7773d43ad8d8c99291c2268d96ca73b9,3,d95315a9-cded-45d5-b328-12ba8f29b7a6
Manual Map Draft 1,Turkey,7773d43ad8d8c99291c2268d96ca73b9,3,d95315a9-cded-45d5-b328-12ba8f29b7a6
Auto Map Draft 1,Uganda,701e0ba8633a4f50ce89e16e82be6f96,2,4918dd02-9039-4006-8c46-e44b717168db
Manual Map Draft 1,Uganda,701e0ba8633a4f50ce89e16e82be6f96,2,4918dd02-9039-4006-8c46-e44b717168db
Auto Map Draft 1,Ukraine,505772c321335dd58b265b0715e369ff,2,923fa440-8770-4eca-ac15-4575512e9125
Manual Map Draft 1,Ukraine,cecc2ef7c239a02aee153d21475c1af1,2,923fa440-8770-4eca-ac15-4575512e9125
Auto Map Draft 1,United Kingdom,481c9d53bbf7b6cad314379a707b1aba,1,b8d2645b-6abd-4602-a34b-633ba1ebf231
Manual Map Draft 1,United Kingdom,481c9d53bbf7b6cad314379a707b1aba,1,b8d2645b-6abd-4602-a34b-633ba1ebf231
Auto Map Draft 1,United Republic of Tanzania,fdb55db3483b9ac83b744a152ff75166,2,1006e6d5-6429-4f68-8c94-862f8499e64b
Manual Map Draft 1,United Republic of Tanzania,9d80c815b109609c26ffda3a575b9f97,2,1006e6d5-6429-4f68-8c94-862f8499e64b
Auto Map Draft 1,United States of America,c0b10f3d78efcdc02a878f5a9ce97d77,9,cd7f7810-915a-4d9e-a424-b8645c25ec42
Manual Map Draft 1,United States of America,c0b10f3d78efcdc02a878f5a9ce97d77,9,cd7f7810-915a-4d9e-a424-b8645c25ec42
Auto Map Draft 1,Uttar Pradesh,847c0d886de289ba57eafd6c9ce33311,7,bc2eaef9-36f0-4b80-aed2-621166f11900
Manual Map Draft 1,Uttar Pradesh,4d42b9ec254d0e96d569ceabce270c26,7,bc2eaef9-36f0-4b80-aed2-621166f11900
Auto Map Draft 1,Viet Nam,4479c31e424445ca0ddbe0b5dbb0f84e,3,8514c67a-183b-4999-b259-6ee8ad168642
Manual Map Draft 1,Viet Nam,406c205c24e40b067d800fdaf43376b7,3,8514c67a-183b-4999-b259-6ee8ad168642
Auto Map Draft 1,West Bengal,7e302aabf2cc3f382720b3e0bf84ed2d,3,28ca5f4f-a07d-4c5b-8b47-feff8603fa11
Manual Map Draft 1,West Bengal,7e302aabf2cc3f382720b3e0bf84ed2d,3,28ca5f4f-a07d-4c5b-8b47-feff8603fa11
Auto Map Draft 1,West Java,01fc4a8733b3bc85ccbaac9ba27c2836,2,206eb491-9d06-4d1b-8fc9-0c7ec49e50aa
Manual Map Draft 1,West Java,01fc4a8733b3bc85ccbaac9ba27c2836,2,206eb491-9d06-4d1b-8fc9-0c7ec49e50aa
Auto Map Draft 1,Yemen,fd1c4ffe4b22e58094115dce495ad2ff,2,f36d6c33-cbf1-4a70-9b6c-f8141cc0452e
Manual Map Draft 1,Yemen,fd1c4ffe4b22e58094115dce495ad2ff,2,f36d6c33-cbf1-4a70-9b6c-f8141cc0452e
Auto Map Draft 1,Yunnan Province,52b5fd775e121d79c8e41b305790d4af,2,32f3f6ed-fbff-42c3-a26d-3883969c51f8
Manual Map Draft 1,Yunnan Province,52b5fd775e121d79c8e41b305790d4af,2,32f3f6ed-fbff-42c3-a26d-3883969c51f8
Auto Map Draft 1,Zhejiang Province,3be69774a986e10d49025569ec432bb1,2,7ccdfaab-cd1b-4cce-89fe-63d5e0df0c67
Manual Map Draft 1,Zhejiang Province,49a43604615ebc2ccf25e203f2958b84,2,7ccdfaab-cd1b-4cce-89fe-63d5e0df0c67
