map,scope,districts,seats,frac_sum,fit_gap,noncontig,avg_chr,band_violations,floor_overrides,scope_jurisdiction_id
Auto Map Draft 1,Iran (Islamic Republic of),3,22,22.0000,0.1474,0,0.6565,0,0,57f55b86-ff98-49ca-be77-7e41e419b2de
Manual Map Draft 1,Iran (Islamic Republic of),3,22,22.0000,0.1474,0,0.6565,0,0,57f55b86-ff98-49ca-be77-7e41e419b2de
Auto Map Draft 1,Iraq,2,11,11.0000,0.0473,0,0.8053,0,1,80195266-d221-4899-82d1-466814ca63b0
Manual Map Draft 1,Iraq,2,11,11.0000,0.0473,0,0.8053,0,1,80195266-d221-4899-82d1-466814ca63b0
Auto Map Draft 1,Italy,2,15,15.0000,0.0177,0,0.5275,0,0,2b3c667c-4f1f-4f79-9563-71a0be3fb59a
Manual Map Draft 1,Italy,2,15,15.0000,0.0177,0,0.5275,0,0,2b3c667c-4f1f-4f79-9563-71a0be3fb59a
Auto Map Draft 1,Japan,4,31,31.0000,1.0895,1,0.3360,0,0,0c052658-60d3-40d9-a891-0322be90235c
Manual Map Draft 1,Japan,4,31,31.0000,0.7193,1,0.3205,0,0,0c052658-60d3-40d9-a891-0322be90235c
Auto Map Draft 1,Jhārkhand,2,10,10.0000,0.0028,0,0.6450,0,1,1bf3192e-e316-493b-ab1b-f3dc6e9250aa
Manual Map Draft 1,Jhārkhand,2,10,10.0000,0.0028,0,0.6450,0,1,1bf3192e-e316-493b-ab1b-f3dc6e9250aa
Auto Map Draft 1,Jiangsu Province,3,21,21.0000,0.0425,0,0.7240,0,0,e67a781f-74a2-4d35-8403-40b545bce681
Manual Map Draft 1,Jiangsu Province,3,21,21.0000,0.0425,0,0.7240,0,0,e67a781f-74a2-4d35-8403-40b545bce681
Auto Map Draft 1,Jiangxi Province,2,11,11.0000,0.0105,0,0.7955,0,0,03968822-fd4f-4225-92d7-df71ff511775
Manual Map Draft 1,Jiangxi Province,2,11,11.0000,0.0105,0,0.7955,0,0,03968822-fd4f-4225-92d7-df71ff511775
Auto Map Draft 1,Karnātaka,2,17,17.0000,0.1545,0,0.7993,0,0,688e4841-8254-4d76-9b20-72550aad9208
Manual Map Draft 1,Karnātaka,2,17,17.0000,0.1545,0,0.7993,0,0,688e4841-8254-4d76-9b20-72550aad9208
Auto Map Draft 1,Kenya,2,14,14.0000,0.0483,0,0.7899,0,0,3813611f-ad9a-4f64-bf4c-bd9c4af14072
Manual Map Draft 1,Kenya,2,14,14.0000,0.0483,0,0.7899,0,0,3813611f-ad9a-4f64-bf4c-bd9c4af14072
Auto Map Draft 1,Khyber Pakhtunkhwa,2,10,10.0000,0.0450,0,0.6954,0,1,e76a7a93-be46-47a2-a46b-ae29bf1d4c8f
Manual Map Draft 1,Khyber Pakhtunkhwa,2,10,10.0000,0.1343,0,0.7112,0,0,e76a7a93-be46-47a2-a46b-ae29bf1d4c8f
Auto Map Draft 1,Liaoning Province,2,11,11.0000,0.0011,0,0.6988,0,0,acc72b39-d670-40d4-af41-39f84054a6b7
Manual Map Draft 1,Liaoning Province,2,11,11.0000,0.0011,0,0.6988,0,0,acc72b39-d670-40d4-af41-39f84054a6b7
Auto Map Draft 1,Madhya Pradesh,3,22,22.0000,0.1323,0,0.6798,0,0,a590ccbb-79cc-42ea-87cd-84428d95f854
Manual Map Draft 1,Madhya Pradesh,3,22,22.0000,0.1323,0,0.6798,0,0,a590ccbb-79cc-42ea-87cd-84428d95f854
Auto Map Draft 1,Mahārāshtra,4,32,32.0000,0.0993,0,0.6718,0,0,d9d25ed5-9f43-43cc-b034-73945fd31051
Manual Map Draft 1,Mahārāshtra,4,32,32.0000,0.5119,0,0.6738,0,0,d9d25ed5-9f43-43cc-b034-73945fd31051
Auto Map Draft 1,Mexico,4,32,32.0000,0.2660,0,0.5829,0,0,0e8f11f5-458e-4c2a-9c9c-d2151ebfaa32
Manual Map Draft 1,Mexico,4,32,32.0000,0.2660,0,0.5829,0,0,0e8f11f5-458e-4c2a-9c9c-d2151ebfaa32
Auto Map Draft 1,Myanmar,2,13,13.0000,0.0938,0,0.5449,0,0,068c5d9a-673c-411f-b771-5e10af257eff
Manual Map Draft 1,Myanmar,2,13,13.0000,0.0938,0,0.5449,0,0,068c5d9a-673c-411f-b771-5e10af257eff
Auto Map Draft 1,Nigeria,7,56,56.0000,1.5269,0,0.7221,0,0,0a3f5aed-1a55-4284-a86d-6c91b3ddf5be
Manual Map Draft 1,Nigeria,7,56,56.0000,1.5269,0,0.7221,0,0,0a3f5aed-1a55-4284-a86d-6c91b3ddf5be
Auto Map Draft 1,Odisha,2,12,12.0000,0.0310,0,0.7548,0,0,bf31e7f8-eef5-464f-a3bc-c2a49fb8b13c
Manual Map Draft 1,Odisha,2,12,12.0000,0.0310,0,0.7548,0,0,bf31e7f8-eef5-464f-a3bc-c2a49fb8b13c
Auto Map Draft 1,Oromia,2,13,13.0000,0.4788,0,0.6895,0,0,7c6ecbb4-f0bb-4784-bc35-9149b177e854
Manual Map Draft 1,Oromia,2,13,13.0000,0.6047,0,0.7464,0,0,7c6ecbb4-f0bb-4784-bc35-9149b177e854
Auto Map Draft 1,Pakistan,1,6,6.0000,0.0000,0,0.4185,0,0,cb6f0222-da4f-4d8e-86de-ff3018992713
Manual Map Draft 1,Pakistan,1,6,6.0000,0.0000,0,0.4185,0,0,cb6f0222-da4f-4d8e-86de-ff3018992713
Auto Map Draft 1,Philippines,4,28,28.0000,0.8287,2,0.2867,0,0,4062a27c-dde1-4cc0-af39-863b75dc8480
Manual Map Draft 1,Philippines,4,28,28.0000,0.6072,0,0.3675,0,0,4062a27c-dde1-4cc0-af39-863b75dc8480
Auto Map Draft 1,Poland,2,10,10.0000,0.0216,0,0.7331,0,1,d71cf8f0-4722-487b-84aa-64b0fdd71ac4
Manual Map Draft 1,Poland,2,10,10.0000,0.0216,0,0.7331,0,1,d71cf8f0-4722-487b-84aa-64b0fdd71ac4
Auto Map Draft 1,Punjab,4,31,31.0000,0.2836,0,0.7001,0,0,3440afe2-a412-4d9d-9024-b6009f809339
Manual Map Draft 1,Punjab,4,31,31.0000,0.6652,0,0.7356,0,0,3440afe2-a412-4d9d-9024-b6009f809339
Auto Map Draft 1,Republic of Korea,2,13,13.0000,0.0672,0,0.5269,0,0,832004e0-d22d-4b7b-a03f-81e300cefbf9
Manual Map Draft 1,Republic of Korea,2,13,13.0000,0.0672,0,0.5269,0,0,832004e0-d22d-4b7b-a03f-81e300cefbf9
Auto Map Draft 1,Russian Federation,4,36,36.0000,0.1632,1,0.5549,0,0,d990fc35-cfcb-4f66-b556-031538196f6c
Manual Map Draft 1,Russian Federation,4,36,36.0000,0.0991,0,0.5738,0,0,d990fc35-cfcb-4f66-b556-031538196f6c
Auto Map Draft 1,Rājasthān,3,21,21.0000,0.0818,0,0.7078,0,0,a0614e7a-dc45-41d3-b9f3-59b746890a9a
Manual Map Draft 1,Rājasthān,3,21,21.0000,0.0818,0,0.7078,0,0,a0614e7a-dc45-41d3-b9f3-59b746890a9a
Auto Map Draft 1,Sao Paulo,2,12,12.0000,0.0077,0,0.7100,0,0,36de5c9d-1561-47f9-a4ee-49ae070051d1
Manual Map Draft 1,Sao Paulo,2,12,12.0000,0.0077,0,0.7100,0,0,36de5c9d-1561-47f9-a4ee-49ae070051d1
Auto Map Draft 1,Shaanxi Province,2,10,10.0000,0.0094,0,0.7125,0,1,6d7c6070-cde3-4839-9091-89a876e4c4d2
Manual Map Draft 1,Shaanxi Province,2,10,10.0000,0.0094,0,0.7125,0,1,6d7c6070-cde3-4839-9091-89a876e4c4d2
Auto Map Draft 1,Shandong Province,3,24,24.0000,0.0951,0,0.7048,0,0,9b746c04-73dc-458a-b05a-42fbf10f4dc0
Manual Map Draft 1,Shandong Province,3,24,24.0000,0.0951,0,0.7048,0,0,9b746c04-73dc-458a-b05a-42fbf10f4dc0
Auto Map Draft 1,Sichuan Province,3,21,21.0000,0.0633,0,0.7415,0,0,e08a8b55-6467-4ec9-ba6d-0f9d1c19cd63
Manual Map Draft 1,Sichuan Province,3,21,21.0000,0.0633,0,0.7415,0,0,e08a8b55-6467-4ec9-ba6d-0f9d1c19cd63
Auto Map Draft 1,Sindh,2,14,14.0000,0.0028,0,0.7874,0,0,ff58aed2-d170-4b9d-89a3-641947355403
Manual Map Draft 1,Sindh,2,14,14.0000,0.0028,0,0.7874,0,0,ff58aed2-d170-4b9d-89a3-641947355403
Auto Map Draft 1,South Africa,2,16,16.0000,0.2000,0,0.7477,0,0,d2945cab-dda8-435f-97f0-9db50bb8fa7e
Manual Map Draft 1,South Africa,2,16,16.0000,0.2000,0,0.7477,0,0,d2945cab-dda8-435f-97f0-9db50bb8fa7e
Auto Map Draft 1,Spain,2,12,12.0000,0.2211,1,0.3434,0,0,4445c04a-1ee4-49cb-9a83-6caf1ee77c89
Manual Map Draft 1,Spain,2,12,12.0000,0.7289,0,0.4094,0,0,4445c04a-1ee4-49cb-9a83-6caf1ee77c89
Auto Map Draft 1,Sudan,2,12,12.0000,0.0356,0,0.7409,0,0,13e01261-b825-46ed-8593-7ee2d089d2e7
Manual Map Draft 1,Sudan,2,12,12.0000,0.3677,0,0.8052,0,0,13e01261-b825-46ed-8593-7ee2d089d2e7
Auto Map Draft 1,Tamil Nādu,4,20,20.0000,0.1651,0,0.6268,0,2,fc3aa94a-6300-420f-9d3c-babc4b9efea3
Manual Map Draft 1,Tamil Nādu,4,20,20.0000,0.6646,0,0.6919,0,1,fc3aa94a-6300-420f-9d3c-babc4b9efea3
Auto Map Draft 1,Telangāna,2,11,11.0000,0.0282,0,0.7587,0,0,ba5acc44-e185-43e0-a5b1-857777c9d194
Manual Map Draft 1,Telangāna,2,11,11.0000,0.0282,0,0.7587,0,0,ba5acc44-e185-43e0-a5b1-857777c9d194
Auto Map Draft 1,Thailand,2,18,18.0000,0.2746,0,0.5632,0,0,189e6c0a-c90e-448e-b0b9-2c9a747ca386
Manual Map Draft 1,Thailand,2,18,18.0000,0.2746,0,0.5632,0,0,189e6c0a-c90e-448e-b0b9-2c9a747ca386
Auto Map Draft 1,Turkey,3,22,22.0000,0.1137,0,0.7260,0,0,d95315a9-cded-45d5-b328-12ba8f29b7a6
Manual Map Draft 1,Turkey,3,22,22.0000,0.1137,0,0.7260,0,0,d95315a9-cded-45d5-b328-12ba8f29b7a6
Auto Map Draft 1,Uganda,2,12,12.0000,0.2745,1,0.5770,0,0,4918dd02-9039-4006-8c46-e44b717168db
Manual Map Draft 1,Uganda,2,12,12.0000,0.2745,1,0.5770,0,0,4918dd02-9039-4006-8c46-e44b717168db
Auto Map Draft 1,Ukraine,2,10,10.0000,0.0154,0,0.7379,0,0,923fa440-8770-4eca-ac15-4575512e9125
Manual Map Draft 1,Ukraine,2,10,10.0000,0.1712,0,0.7048,0,0,923fa440-8770-4eca-ac15-4575512e9125
Auto Map Draft 1,United Kingdom,1,3,3.0000,0.0000,0,0.3435,0,1,b8d2645b-6abd-4602-a34b-633ba1ebf231
Manual Map Draft 1,United Kingdom,1,3,3.0000,0.0000,0,0.3435,0,1,b8d2645b-6abd-4602-a34b-633ba1ebf231
Auto Map Draft 1,United Republic of Tanzania,2,16,16.0000,0.0337,1,0.5750,0,0,1006e6d5-6429-4f68-8c94-862f8499e64b
Manual Map Draft 1,United Republic of Tanzania,2,16,16.0000,0.2103,1,0.6926,0,0,1006e6d5-6429-4f68-8c94-862f8499e64b
Auto Map Draft 1,United States of America,9,75,75.0000,2.0092,0,0.5249,0,0,cd7f7810-915a-4d9e-a424-b8645c25ec42
Manual Map Draft 1,United States of America,9,75,75.0000,2.0092,0,0.5249,0,0,cd7f7810-915a-4d9e-a424-b8645c25ec42
Auto Map Draft 1,Uttar Pradesh,7,61,61.0000,0.2903,0,0.6681,0,0,bc2eaef9-36f0-4b80-aed2-621166f11900
Manual Map Draft 1,Uttar Pradesh,7,61,61.0000,0.6795,0,0.7221,0,0,bc2eaef9-36f0-4b80-aed2-621166f11900
Auto Map Draft 1,Viet Nam,3,25,25.0000,0.0646,0,0.4257,0,0,8514c67a-183b-4999-b259-6ee8ad168642
Manual Map Draft 1,Viet Nam,3,25,25.0000,0.3298,0,0.3621,0,0,8514c67a-183b-4999-b259-6ee8ad168642
Auto Map Draft 1,West Bengal,3,25,25.0000,0.2294,0,0.6331,0,0,28ca5f4f-a07d-4c5b-8b47-feff8603fa11
Manual Map Draft 1,West Bengal,3,25,25.0000,0.2294,0,0.6331,0,0,28ca5f4f-a07d-4c5b-8b47-feff8603fa11
Auto Map Draft 1,West Java,2,13,13.0000,0.0695,0,0.7918,0,0,206eb491-9d06-4d1b-8fc9-0c7ec49e50aa
Manual Map Draft 1,West Java,2,13,13.0000,0.0695,0,0.7918,0,0,206eb491-9d06-4d1b-8fc9-0c7ec49e50aa
Auto Map Draft 1,Yemen,2,10,10.0000,0.0666,0,0.5796,0,1,f36d6c33-cbf1-4a70-9b6c-f8141cc0452e
Manual Map Draft 1,Yemen,2,10,10.0000,0.0666,0,0.5796,0,1,f36d6c33-cbf1-4a70-9b6c-f8141cc0452e
Auto Map Draft 1,Yunnan Province,2,12,12.0000,0.0400,0,0.6938,0,0,32f3f6ed-fbff-42c3-a26d-3883969c51f8
Manual Map Draft 1,Yunnan Province,2,12,12.0000,0.0400,0,0.6938,0,0,32f3f6ed-fbff-42c3-a26d-3883969c51f8
Auto Map Draft 1,Zhejiang Province,2,16,16.0000,0.1469,0,0.6369,0,0,7ccdfaab-cd1b-4cce-89fe-63d5e0df0c67
Manual Map Draft 1,Zhejiang Province,2,16,16.0000,0.0791,0,0.6841,0,0,7ccdfaab-cd1b-4cce-89fe-63d5e0df0c67
